Question,Answer,Generated_Cypher
"What is the cwe of the cve with description 'Dell EMC CloudLink 7.1 and all prior versions contain an Improper Input Validation Vulnerability. A remote low privileged attacker, may potentially exploit this vulnerability, leading to execution of arbitrary files on the server'?",CWE-20,"['MATCH (cve:CVE)\n         WHERE toLower(cve.description) CONTAINS toLower(""dell emc cloudlink"")\n         AND toLower(cve.description) CONTAINS toLower(""improper input validation"")\n         AND toLower(cve.description) CONTAINS toLower(""arbitrary files"")\n         OPTIONAL MATCH (cve)-[:HAS_CWE]->(w:CWE)\n         RETURN w', 'MATCH (cve:CVE)\n         WHERE toLower(cve.description) CONTAINS toLower(""dell emc cloudlink"")\n         AND toLower(cve.description) CONTAINS toLower(""improper input validation"")\n         AND toLower(cve.description) CONTAINS toLower(""arbitrary files"")\n         RETURN cve', 'MATCH (cve:CVE)\n         WHERE toLower(cve.description) CONTAINS toLower(""dell emc cloudlink"")\n         AND toLower(cve.description) CONTAINS toLower(""improper input validation"")\n         AND toLower(cve.description) CONTAINS toLower(""arbitrary files"")\n         RETURN cve, w\n         LIMIT 5', 'MATCH (cve:CVE)\n         WHERE toLower(cve.description) CONTAINS toLower(""dell emc cloudlink"")\n         AND toLower(cve.description) CONTAINS toLower(""improper input validation"")\n         AND toLower(cve.description) CONTAINS toLower(""arbitrary files"")\n         RETURN cve, w\n         LIMIT 5', 'MATCH (cve:CVE)\n         WHERE toLower(cve.description) CONTAINS toLower(""dell emc cloudlink"")\n         AND toLower(cve.description) CONTAINS toLower(""improper input validation"")\n         AND toLower(cve.description) CONTAINS toLower(""arbitrary files"")\n         RETURN cve, w\n         LIMIT 5', 'MATCH (cve:CVE)\n         WHERE toLower(cve.description) CONTAINS toLower(""dell emc cloudlink"")\n         AND toLower(cve.description) CONTAINS toLower(""improper input validation"")\n         AND toLower(cve.description) CONTAINS toLower(""arbitrary files"")\n         RETURN cve, w\n         LIMIT 5', 'MATCH (cve:CVE)\n         WHERE toLower(cve.description) CONTAINS toLower(""dell emc cloudlink"")\n         AND to']"
What is the cwe of the cve with description 'A vulnerability has been identified in SINEC NMS (All versions < V1.0 SP2 Update 1). The affected system allows to download arbitrary files under a user controlled path and does not correctly check if the relative path is still within the intended target directory.'?,CWE-22,"['MATCH (cve:CVE)\n         WHERE toLower(cve.description) CONTAINS toLower(""sinec nms"")\n         AND toLower(cve.description) CONTAINS toLower(""arbitrary files"")\n         AND toLower(cve.description) CONTAINS toLower(""user controlled path"")\n         AND toLower(cve.description) CONTAINS toLower(""target directory"")\n         OPTIONAL MATCH (cve)-[:HAS_CWE]->(w:CWE)\n         RETURN w', 'MATCH (cve:CVE)\n         WHERE toLower(cve.description) CONTAINS toLower(""sinec nms"")\n         AND toLower(cve.description) CONTAINS toLower(""arbitrary files"")\n         AND toLower(cve.description) CONTAINS toLower(""user controlled path"")\n         AND toLower(cve.description) CONTAINS toLower(""target directory"")\n         AND toLower(cve.description) CONTAINS toLower(""v1.0 sp2 update 1"")\n         OPTIONAL MATCH (cve)-[:HAS_CWE]->(w:CWE)\n         RETURN w', 'MATCH (cve:CVE)\n         WHERE toLower(cve.description) CONTAINS toLower(""sinec nms"")\n         AND toLower(cve.description) CONTAINS toLower(""arbitrary files"")\n         AND toLower(cve.description) CONTAINS toLower(""user controlled path"")\n         AND toLower(cve.description) CONTAINS toLower(""target directory"")\n         AND toLower(cve.description) CONTAINS toLower(""v1.0 sp2 update 1"")\n         AND toLower(cve.description) CONTAINS toLower(""arbitrary files"")\n         OPTIONAL MATCH (cve)-[:HAS_CWE]->(w:CWE)\n         RETURN w', 'MATCH (cve:CVE)\n         WHERE toLower(cve.description) CONTAINS toLower(""sinec nms"")\n         AND toLower(cve.description) CONTAINS toLower(""arbitrary files"")\n         AND toLower(cve.description) CONTAINS toLower(""user controlled path"")\n         AND toLower(cve.description) CONTAINS toLower(""target directory"")\n         AND toLower(cve.description) CONTAINS toLower(""v1.0 sp2 update 1"")\n         AND toLower(cve.description) CONTAINS toLower(""arbitrary files"")\n         AND toLower(cve.description) CONTAINS toLower(""user controlled path"")\n         OPTIONAL MATCH (cve)-']"
"What is the cwe of the cve with description 'A reflected cross-site scripting (XSS) vulnerability has been reported to affect QNAP NAS running Ragic Cloud DB. If exploited, this vulnerability allows remote attackers to inject malicious code. QNAP have already disabled and removed Ragic Cloud DB from the QNAP App Center, pending a security patch from Ragic.'?",CWE-79,"['MATCH (cve:CVE)\n         WHERE toLower(cve.description) CONTAINS toLower(""reflected cross-site scripting"")\n         AND toLower(cve.description) CONTAINS toLower(""QNAP NAS"")\n         AND toLower(cve.description) CONTAINS toLower(""Ragic Cloud DB"")\n         AND toLower(cve.description) CONTAINS toLower(""inject malicious code"")\n         OPTIONAL MATCH (cve)-[:HAS_CWE]->(w:CWE)\n         RETURN w', 'MATCH (cve:CVE)\n         WHERE toLower(cve.description) CONTAINS toLower(""QNAP NAS"")\n         AND toLower(cve.description) CONTAINS toLower(""Ragic Cloud DB"")\n         AND toLower(cve.description) CONTAINS toLower(""inject malicious code"")\n         OPTIONAL MATCH (cve)-[:HAS_CWE]->(w:CWE)\n         RETURN w', 'MATCH (cve:CVE)\n         WHERE toLower(cve.description) CONTAINS toLower(""reflected cross-site scripting"")\n         AND toLower(cve.description) CONTAINS toLower(""QNAP NAS"")\n         AND toLower(cve.description) CONTAINS toLower(""Ragic Cloud DB"")\n         AND toLower(cve.description) CONTAINS toLower(""inject malicious code"")\n         AND toLower(cve.description) CONTAINS toLower(""security patch"")\n         OPTIONAL MATCH (cve)-[:HAS_CWE]->(w:CWE)\n         RETURN w', 'MATCH (cve:CVE)\n         WHERE toLower(cve.description) CONTAINS toLower(""QNAP NAS"")\n         AND toLower(cve.description) CONTAINS toLower(""Ragic Cloud DB"")\n         AND toLower(cve.description) CONTAINS toLower(""inject malicious code"")\n         AND toLower(cve.description) CONTAINS toLower(""security patch"")\n         OPTIONAL MATCH (cve)-[:HAS_CWE]->(w:CWE)\n         RETURN w', 'MATCH (cve:CVE)\n         WHERE toLower(cve.description) CONTAINS toLower(""reflected cross-site scripting"")\n         AND toLower(cve.description) CONTAINS toLower(""QNAP NAS"")\n         AND toLower(cve.description) CONTAINS toLower(""Ragic Cloud DB"")\n         AND toLower(cve.description) CONTAINS toLower(""inject malicious code"")\n         AND toLower(cve.description) CONTAINS toLower(""security patch"")\n         AND toLower']"
"What is the cwe of the cve with description 'In Gradle Enterprise before 2021.3 (and Enterprise Build Cache Node before 10.0), there is potential cache poisoning and remote code execution when running the build cache node with its default configuration. This configuration allows anonymous access to the configuration user interface and anonymous write access to the build cache. If access control to the build cache is not changed from the default open configuration, a malicious actor with network access can populate the cache with manipulated entries that may execute malicious code as part of a build process. This applies to the build cache provided with Gradle Enterprise and the separate build cache node service if used. If access control to the user interface is not changed from the default open configuration, a malicious actor can undo build cache access control in order to populate the cache with manipulated entries that may execute malicious code as part of a build process. This does not apply to the build cache provided with Gradle Enterprise, but does apply to the separate build cache node service if used.'?",CWE-732,"['MATCH (cve:CVE)\n         WHERE toLower(cve.description) CONTAINS toLower(""gradle enterprise"")\n         AND toLower(cve.description) CONTAINS toLower(""cache poisoning"")\n         AND toLower(cve.description) CONTAINS toLower(""remote code execution"")\n         AND toLower(cve.description) CONTAINS toLower(""build cache node"")\n         AND toLower(cve.description) CONTAINS toLower(""anonymous access"")\n         AND toLower(cve.description) CONTAINS toLower(""write access"")\n         AND toLower(cve.description) CONTAINS toLower(""malicious actor"")\n         AND toLower(cve.description) CONTAINS toLower(""network access"")\n         AND toLower(cve.description) CONTAINS toLower(""manipulated entries"")\n         AND toLower(cve.description) CONTAINS toLower(""execute malicious code"")\n         AND toLower(cve.description) CONTAINS toLower(""build process"")\n         AND toLower(cve.description) CONTAINS toLower(""undo build cache access control"")\n         AND toLower(cve.description) CONTAINS toLower(""populate cache with manipulated entries"")\n         AND toLower(cve.description) CONTAINS toLower(""execute malicious code as part of a build process"")\n         OPTIONAL MATCH (cve)-[:HAS_CWE]->(w:CWE)\n         RETURN w', 'MATCH (cve:CVE)\n         WHERE toLower(cve.description) CONTAINS toLower(""gradle enterprise"")\n         AND toLower(cve.description) CONTAINS toLower(""cache poisoning"")\n         AND toLower(cve.description) CONTAINS toLower(""remote code execution"")\n         AND toLower(cve.description) CONTAINS toLower(""build cache node"")\n         AND toLower(cve.description) CONTAINS toLower(""anonymous access"")\n         AND toLower(cve.description) CONTAINS toLower(""write access"")\n         AND toLower(cve.description) CONTAINS toLower(""malicious actor"")\n         AND toLower(cve.description) CONTAINS toLower(""network access"")\n         AND toLower(cve.description) CONTAINS toLower(""manipulated entries"")\n         AND toLower(cve.description) CONTAINS toLower(""execute malicious code"")\n         AND toLower(cve.description) CONTAINS toLower(""build process"")\n         AND toLower(cve.description) CONTAINS toLower(""undo build cache access control"")\n         AND toLower(cve.description) CONTAINS toLower(""populate cache with manipulated entries"")\n         AND toLower(cve']"
"What is the cwe of the cve with description 'An unprotected ssh private key exists on the Gryphon devices which could be used to achieve root access to a server affiliated with Gryphon's development and infrastructure. At the time of discovery, the ssh key could be used to login to the development server hosted in Amazon Web Services.'?",CWE-522,"['MATCH (cve:CVE)\n         WHERE toLower(cve.description) CONTAINS toLower(""unprotected ssh private key"")\n         AND toLower(cve.description) CONTAINS toLower(""gryphon devices"")\n         AND toLower(cve.description) CONTAINS toLower(""root access"")\n         AND toLower(cve.description) CONTAINS toLower(""gryphon\'s development and infrastructure"")\n         AND toLower(cve.description) CONTAINS toLower(""ssh key"")\n         AND toLower(cve.description) CONTAINS toLower(""amazon web services"")\n         OPTIONAL MATCH (cve)-[:HAS_CWE]->(w:CWE)\n         RETURN w', 'MATCH (cve:CVE)\n         WHERE toLower(cve.description) CONTAINS toLower(""unprotected ssh private key"")\n         AND toLower(cve.description) CONTAINS toLower(""gryphon devices"")\n         AND toLower(cve.description) CONTAINS toLower(""root access"")\n         AND toLower(cve.description) CONTAINS toLower(""gryphon\'s development and infrastructure"")\n         AND toLower(cve.description) CONTAINS toLower(""ssh key"")\n         AND toLower(cve.description) CONTAINS toLower(""amazon web services"")\n         AND toLower(cve.description) CONTAINS toLower(""development server"")\n         OPTIONAL MATCH (cve)-[:HAS_CWE]->(w:CWE)\n         RETURN w', 'MATCH (cve:CVE)\n         WHERE toLower(cve.description) CONTAINS toLower(""unprotected ssh private key"")\n         AND toLower(cve.description) CONTAINS toLower(""gryphon devices"")\n         AND toLower(cve.description) CONTAINS toLower(""root access"")\n         AND toLower(cve.description) CONTAINS toLower(""gryphon\'s development and infrastructure"")\n         AND toLower(cve.description) CONTAINS toLower(""ssh key"")\n         AND toLower(cve.description) CONTAINS toLower(""amazon web services"")\n         AND toLower(cve.description) CONTAINS toLower(""development server"")\n         AND toLower(cve.description) CONTAINS toLower(""gryphon"")\n         OPTIONAL MATCH (cve)-[:HAS_CWE]->(w:CWE)\n         RETURN w', 'MATCH (cve:CVE)\n         WHERE toLower(cve.description) CONTAINS toLower(""unprotected ssh private key"")\n         AND toLower(cve.description) CONTAINS toLower(""g']"
"What is the cwe of the cve with description 'A buffer overflow may result in arbitrary code execution. This issue is fixed in macOS Big Sur 11.3, iOS 14.5 and iPadOS 14.5, watchOS 7.4, tvOS 14.5. A logic issue was addressed with improved state management.'?",CWE-119,"['MATCH (cve:CVE)\n         WHERE toLower(cve.description) CONTAINS toLower(""buffer overflow"")\n         AND toLower(cve.description) CONTAINS toLower(""arbitrary code execution"")\n         AND toLower(cve.description) CONTAINS toLower(""macos big sur"")\n         AND toLower(cve.description) CONTAINS toLower(""improved state management"")\n         OPTIONAL MATCH (cve)-[:HAS_CWE]->(w:CWE)\n         RETURN w', 'MATCH (cve:CVE)\n         WHERE toLower(cve.description) CONTAINS toLower(""buffer overflow"")\n         AND toLower(cve.description) CONTAINS toLower(""arbitrary code execution"")\n         AND toLower(cve.description) CONTAINS toLower(""macos big sur"")\n         AND toLower(cve.description) CONTAINS toLower(""improved state management"")\n         RETURN cve', 'MATCH (cve:CVE)\n         WHERE toLower(cve.description) CONTAINS toLower(""buffer overflow"")\n         AND toLower(cve.description) CONTAINS toLower(""arbitrary code execution"")\n         AND toLower(cve.description) CONTAINS toLower(""macos big sur"")\n         AND toLower(cve.description) CONTAINS toLower(""improved state management"")\n         RETURN cve, w\n         LIMIT 5', 'MATCH (cve:CVE)\n         WHERE toLower(cve.description) CONTAINS toLower(""buffer overflow"")\n         AND toLower(cve.description) CONTAINS toLower(""arbitrary code execution"")\n         AND toLower(cve.description) CONTAINS toLower(""macos big sur"")\n         AND toLower(cve.description) CONTAINS toLower(""improved state management"")\n         RETURN cve, w\n         LIMIT 5', 'MATCH (cve:CVE)\n         WHERE toLower(cve.description) CONTAINS toLower(""buffer overflow"")\n         AND toLower(cve.description) CONTAINS toLower(""arbitrary code execution"")\n         AND toLower(cve.description) CONTAINS toLower(""macos big sur"")\n         AND toLower(cve.description) CONTAINS toLower(""improved state management"")\n         RETURN cve, w\n         LIMIT 5', 'MATCH (cve:CVE)\n         WHERE toLower(cve.description) CONTAINS toLower(""buffer overflow"")\n         AND toLower(cve.description) CONTAINS toLower']"
"What is the cwe of the cve with description 'In Ericsson ECM before 18.0, it was observed that Security Provider Endpoint in the User Profile Management Section is vulnerable to CSV Injection.'?",CWE-74,"['MATCH (cve:CVE)\n         WHERE toLower(cve.description) CONTAINS toLower(""ericsson ecm"")\n         AND toLower(cve.description) CONTAINS toLower(""csv injection"")\n         OPTIONAL MATCH (cve)-[:HAS_CWE]->(w:CWE)\n         RETURN w', 'MATCH (cve:CVE)\n         WHERE toLower(cve.description) CONTAINS toLower(""ericsson ecm"")\n         AND toLower(cve.description) CONTAINS toLower(""csv injection"")\n         OPTIONAL MATCH (cve)-[:HAS_CWE]->(w:CWE)\n         RETURN w', 'MATCH (cve:CVE)\n         WHERE toLower(cve.description) CONTAINS toLower(""ericsson ecm"")\n         AND toLower(cve.description) CONTAINS toLower(""csv injection"")\n         OPTIONAL MATCH (cve)-[:HAS_CWE]->(w:CWE)\n         RETURN w', 'MATCH (cve:CVE)\n         WHERE toLower(cve.description) CONTAINS toLower(""ericsson ecm"")\n         AND toLower(cve.description) CONTAINS toLower(""csv injection"")\n         OPTIONAL MATCH (cve)-[:HAS_CWE]->(w:CWE)\n         RETURN w', 'MATCH (cve:CVE)\n         WHERE toLower(cve.description) CONTAINS toLower(""ericsson ecm"")\n         AND toLower(cve.description) CONTAINS toLower(""csv injection"")\n         OPTIONAL MATCH (cve)-[:HAS_CWE]->(w:CWE)\n         RETURN w', 'MATCH (cve:CVE)\n         WHERE toLower(cve.description) CONTAINS toLower(""ericsson ecm"")\n         AND toLower(cve.description) CONTAINS toLower(""csv injection"")\n         OPTIONAL MATCH (cve)-[:HAS_CWE]->(w:CWE)\n         RETURN w', 'MATCH (cve:CVE)\n         WHERE toLower(cve.description) CONTAINS toLower(""ericsson ecm"")\n         AND toLower(cve.description) CONTAINS toLower(""csv injection"")\n         OPTIONAL MATCH (cve)-[:HAS_CWE]->(w:CWE)\n         RETURN w', 'MATCH (cve:CVE)\n         WHERE toLower(cve.description) CONTAINS toLower(""ericsson ecm"")\n         AND toLower(cve.description) CONTAINS to']"
"What is the cwe of the cve with description 'A vulnerability has been detected in HyperLedger Fabric v1.4.0, v2.0.0, v2.1.0. This bug can be leveraged by constructing a message whose payload is nil and sending this message with the method 'forwardToLeader'. This bug has been admitted and fixed by the developers of Fabric. If leveraged, any leader node will crash.'?",CWE-476,"['MATCH (cve:CVE)\n         WHERE toLower(cve.description) CONTAINS toLower(""hyperledger fabric"")\n         AND toLower(cve.description) CONTAINS toLower(""v1.4.0"")\n         AND toLower(cve.description) CONTAINS toLower(""v2.0.0"")\n         AND toLower(cve.description) CONTAINS toLower(""v2.1.0"")\n         AND toLower(cve.description) CONTAINS toLower(""forwardToLeader"")\n         OPTIONAL MATCH (cve)-[:HAS_CWE]->(w:CWE)\n         RETURN w', 'MATCH (cve:CVE)\n         WHERE toLower(cve.description) CONTAINS toLower(""hyperledger fabric"")\n         AND toLower(cve.description) CONTAINS toLower(""v1.4.0"")\n         AND toLower(cve.description) CONTAINS toLower(""v2.0.0"")\n         AND toLower(cve.description) CONTAINS toLower(""v2.1.0"")\n         AND toLower(cve.description) CONTAINS toLower(""forwardToLeader"")\n         AND toLower(cve.description) CONTAINS toLower(""crash"")\n         OPTIONAL MATCH (cve)-[:HAS_CWE]->(w:CWE)\n         RETURN w', 'MATCH (cve:CVE)\n         WHERE toLower(cve.description) CONTAINS toLower(""hyperledger fabric"")\n         AND toLower(cve.description) CONTAINS toLower(""v1.4.0"")\n         AND toLower(cve.description) CONTAINS toLower(""v2.0.0"")\n         AND toLower(cve.description) CONTAINS toLower(""v2.1.0"")\n         AND toLower(cve.description) CONTAINS toLower(""forwardToLeader"")\n         AND toLower(cve.description) CONTAINS toLower(""admitted"")\n         AND toLower(cve.description) CONTAINS toLower(""fixed"")\n         OPTIONAL MATCH (cve)-[:HAS_CWE]->(w:CWE)\n         RETURN w', 'MATCH (cve:CVE)\n         WHERE toLower(cve.description) CONTAINS toLower(""hyperledger fabric"")\n         AND toLower(cve.description) CONTAINS toLower(""v1.4.0"")\n         AND toLower(cve.description) CONTAINS toLower(""v2.0.0"")\n         AND toLower(cve.description) CONTAINS toLower(""v2.1']"
"What is the cwe of the cve with description 'In modules/imgcodecs/src/grfmt_pxm.cpp, the length of buffer AutoBuffer _src is small than expected, which will cause copy buffer overflow later. If the image is from remote, may lead to remote code execution or denial of service. This affects Opencv 3.3 and earlier.'?",CWE-787,"['MATCH (cve:CVE)\n         WHERE toLower(cve.description) CONTAINS toLower(""modules/imgcodecs/src/grfmt_pxm.cpp"")\n         AND toLower(cve.description) CONTAINS toLower(""copy buffer overflow"")\n         AND toLower(cve.description) CONTAINS toLower(""remote code execution"")\n         AND toLower(cve.description) CONTAINS toLower(""denial of service"")\n         AND toLower(cve.description) CONTAINS toLower(""opencv 3.3"")\n         OPTIONAL MATCH (cve)-[:HAS_CWE]->(w:CWE)\n         RETURN w', 'MATCH (cve:CVE)\n         WHERE toLower(cve.description) CONTAINS toLower(""modules/imgcodecs/src/grfmt_pxm.cpp"")\n         AND toLower(cve.description) CONTAINS toLower(""copy buffer overflow"")\n         AND toLower(cve.description) CONTAINS toLower(""remote code execution"")\n         AND toLower(cve.description) CONTAINS toLower(""denial of service"")\n         AND toLower(cve.description) CONTAINS toLower(""opencv 3.3"")\n         AND toLower(cve.description) CONTAINS toLower(""buffer auto buffer _src"")\n         OPTIONAL MATCH (cve)-[:HAS_CWE]->(w:CWE)\n         RETURN w', 'MATCH (cve:CVE)\n         WHERE toLower(cve.description) CONTAINS toLower(""modules/imgcodecs/src/grfmt_pxm.cpp"")\n         AND toLower(cve.description) CONTAINS toLower(""copy buffer overflow"")\n         AND toLower(cve.description) CONTAINS toLower(""remote code execution"")\n         AND toLower(cve.description) CONTAINS toLower(""denial of service"")\n         AND toLower(cve.description) CONTAINS toLower(""opencv 3.3"")\n         AND toLower(cve.description) CONTAINS toLower(""small than expected"")\n         OPTIONAL MATCH (cve)-[:HAS_CWE]->(w:CWE)\n         RETURN w', 'MATCH (cve:CVE)\n         WHERE toLower(cve.description) CONTAINS toLower(""modules/imgcodecs/src/grfmt_pxm.cpp"")\n         AND toLower(cve.description) CONTAINS toLower(""copy buffer overflow"")\n         AND toLower(cve.description) CONTAINS toLower(""remote code execution"")\n         AND toLower(cve.description) CONTAINS toLower(""denial of service"")']"
What is the cwe of the cve with description 'An SQL Injection vulnerability exists in Sourcecodester Complaint Management System 1.0 via the cid parameter in complaint-details.php.'?,CWE-89,"['MATCH (cve:CVE)\n         WHERE toLower(cve.description) CONTAINS toLower(""sql injection"")\n         AND toLower(cve.description) CONTAINS toLower(""sourcecodester complaint management system"")\n         AND toLower(cve.description) CONTAINS toLower(""cid parameter"")\n         OPTIONAL MATCH (cve)-[:HAS_CWE]->(w:CWE)\n         RETURN w', 'MATCH (cve:CVE)\n         WHERE toLower(cve.description) CONTAINS toLower(""sql injection"")\n         AND toLower(cve.description) CONTAINS toLower(""sourcecodester complaint management system"")\n         AND toLower(cve.description) CONTAINS toLower(""complaint-details.php"")\n         OPTIONAL MATCH (cve)-[:HAS_CWE]->(w:CWE)\n         RETURN w', 'MATCH (cve:CVE)\n         WHERE toLower(cve.description) CONTAINS toLower(""sql injection"")\n         AND toLower(cve.description) CONTAINS toLower(""complaint management system"")\n         AND toLower(cve.description) CONTAINS toLower(""cid parameter in complaint-details.php"")\n         OPTIONAL MATCH (cve)-[:HAS_CWE]->(w:CWE)\n         RETURN w', 'MATCH (cve:CVE)\n         WHERE toLower(cve.description) CONTAINS toLower(""sql injection"")\n         AND toLower(cve.description) CONTAINS toLower(""sourcecodester complaint management system 1.0"")\n         AND toLower(cve.description) CONTAINS toLower(""complaint-details.php"")\n         OPTIONAL MATCH (cve)-[:HAS_CWE]->(w:CWE)\n         RETURN w', 'MATCH (cve:CVE)\n         WHERE toLower(cve.description) CONTAINS toLower(""sql injection"")\n         AND toLower(cve.description) CONTAINS toLower(""complaint management system 1.0"")\n         AND toLower(cve.description) CONTAINS toLower(""cid parameter in complaint-details.php"")\n         OPTIONAL MATCH (cve)-[:HAS_CWE]->(w:CWE)\n         RETURN w', 'MATCH (cve:CVE)\n         WHERE toLower(cve.description) CONTAINS toLower(""sourcecodester complaint management system 1.0"")\n         AND toLower(cve.description) CONTAINS toLower(""sql injection"")\n         AND toLower(cve.description) CONTAINS toLower(""cid parameter in complaint-details.php']"
